"","id","photoURL","lat","long","rubbishRunID","userName","rubbishType","reportedTimeStamp","city","totalNumberOfItemsTagged","datetime","date","X","Y","OBJECTID","Mile","Section_Name","FolderPath","Region","geometry","dist_m"
"11","xbiQCDBpdbwTpTcwOcTI","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FxbiQCDBpdbwTpTcwOcTI.jpg?alt=media&token=66f510cf-da19-43bb-aaee-bc5ca6e624b1","35.0672284559839","-118.346947499698","rzGGS8EPe5rsX6x2Im8j","notracetrails","wood",1683828629.02061,"Mojave","5",2023-05-11 18:10:29,2023-05-11,-118.3469024,35.0661242,2945,560,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.346947499698, 35.0672284559839),122.856441352444
"12","P5qGsFwTRt8zUc2tNcBB","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FP5qGsFwTRt8zUc2tNcBB.jpg?alt=media&token=c23aea7d-bd17-403d-a8d0-dfaf905dfa6a","34.8543469563266","-118.474197352624","hC2z3Bytg7T0tycdQpIN","notracetrails","metal",1683511494.50894,"Rosamond","1",2023-05-08 02:04:54,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.474197352624, 34.8543469563266),879.237631689631
"13","at1XH4t5Sj0gXQNm7N1N","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fat1XH4t5Sj0gXQNm7N1N.jpg?alt=media&token=86663a1e-5c15-463f-8d85-99e3908305e1","34.8540825728849","-118.474950400247","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683511404.66308,"Rosamond","1",2023-05-08 02:03:24,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.474950400247, 34.8540825728849),805.198211126796
"14","x4dow6wSvFqImdYMkEkp","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fx4dow6wSvFqImdYMkEkp.jpg?alt=media&token=25d9eed4-fea7-445d-9924-454cc9ff3b1f","34.854056519603","-118.475064594105","hC2z3Bytg7T0tycdQpIN","notracetrails","glass",1683511386.43594,"Rosamond","1",2023-05-08 02:03:06,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.475064594105, 34.854056519603),794.383591247095
"15","uWsFdg6Qq9b1ffIHtb1T","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FuWsFdg6Qq9b1ffIHtb1T.jpg?alt=media&token=c9a8fffc-964e-4ffd-ac0e-f749393703fa","34.8540523611312","-118.475090406205","hC2z3Bytg7T0tycdQpIN","notracetrails","glass",1683511372.77075,"Rosamond","1",2023-05-08 02:02:52,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.475090406205, 34.8540523611312),791.988765871208
"16","woRvYtSQhljH2EaIdEwO","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FwoRvYtSQhljH2EaIdEwO.jpg?alt=media&token=3764bb4b-1d52-42aa-b80a-275b27f2253f","34.8540198381048","-118.475258542508","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683511354.43708,"Rosamond","1",2023-05-08 02:02:34,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.475258542508, 34.8540198381048),776.233349879622
"17","x80dHg3DS0ycQOupxnmC","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fx80dHg3DS0ycQOupxnmC.jpg?alt=media&token=521c8939-e129-44f9-8ef1-e4f565c654cd","34.8536538826335","-118.476290048069","hC2z3Bytg7T0tycdQpIN","notracetrails","glass",1683511263.01056,"Rosamond","4",2023-05-08 02:01:03,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476290048069, 34.8536538826335),674.949745261925
"18","EYDiaP7Y7Bn8VMTYEVmv","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FEYDiaP7Y7Bn8VMTYEVmv.jpg?alt=media&token=db5bf246-5a68-470c-882d-25bc00f684d9","34.8536476871909","-118.476312010418","hC2z3Bytg7T0tycdQpIN","notracetrails","glass",1683511247.58917,"Rosamond","1",2023-05-08 02:00:47,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476312010418, 34.8536476871909),672.839479589591
"19","dcAhDU6krAAIfBNkmQSD","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdcAhDU6krAAIfBNkmQSD.jpg?alt=media&token=5604f9d5-87c2-4cf9-9c03-2374177061a5","34.8536476871909","-118.476312010418","hC2z3Bytg7T0tycdQpIN","notracetrails","wood",1683511238.34293,"Rosamond","1",2023-05-08 02:00:38,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476312010418, 34.8536476871909),672.839479589591
"20","qu04TSMJjEBjmwGas5LD","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fqu04TSMJjEBjmwGas5LD.jpg?alt=media&token=fe142db7-b7a2-44fc-ac56-e89486404b1d","34.8536213159741","-118.476402263153","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683511223.24042,"Rosamond","1",2023-05-08 02:00:23,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476402263153, 34.8536213159741),664.144167828331
"21","4O4mgiASqrFBKImDV3nr","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F4O4mgiASqrFBKImDV3nr.jpg?alt=media&token=c3d70376-6136-4947-b851-9cb247a7b8ad","34.8536103345706","-118.476463843288","hC2z3Bytg7T0tycdQpIN","notracetrails","ceramic",1683511205.12006,"Rosamond","1",2023-05-08 02:00:05,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476463843288, 34.8536103345706),658.395626277686
"22","q1t9PndM55AhIidm4Q66","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fq1t9PndM55AhIidm4Q66.jpg?alt=media&token=ac246460-da73-4807-89d0-353a2e845bfe","34.8536164115323","-118.47647238953","hC2z3Bytg7T0tycdQpIN","notracetrails","ceramic",1683511180.75796,"Rosamond","1",2023-05-08 01:59:40,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.47647238953, 34.8536164115323),657.797899670902
"23","c9ZvXdSOnd2VSx9o24Ef","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fc9ZvXdSOnd2VSx9o24Ef.jpg?alt=media&token=11054e02-ffbb-47ec-9965-5d065d152edb","34.8535333483926","-118.476689790405","hC2z3Bytg7T0tycdQpIN","notracetrails","soft plastic",1683511154.27912,"Rosamond","1",2023-05-08 01:59:14,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476689790405, 34.8535333483926),636.349496755908
"24","PIXmJFyf7ZAlB5ulYLN8","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FPIXmJFyf7ZAlB5ulYLN8.jpg?alt=media&token=432baf3c-95b1-4209-b165-c5fe98012dad","34.853533728757","-118.476744840569","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683511144.23056,"Rosamond","1",2023-05-08 01:59:04,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.476744840569, 34.853533728757),631.472787143624
"25","JT9yN2jDjTU1Sv0EUPUj","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FJT9yN2jDjTU1Sv0EUPUj.jpg?alt=media&token=3c0d824f-2371-40c2-a969-819c90bd3ecc","34.85326290784","-118.477696622839","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683511017.29602,"Rosamond","1",2023-05-08 01:56:57,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.477696622839, 34.85326290784),540.077331737253
"26","DhqoalX8ZxjN0A3h9wur","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FDhqoalX8ZxjN0A3h9wur.jpg?alt=media&token=87b89c3d-bfa9-46b6-9a9f-c65edc9f8c57","34.8532576285385","-118.477749090575","hC2z3Bytg7T0tycdQpIN","notracetrails","uncategorized",1683511000.80204,"Rosamond","1",2023-05-08 01:56:40,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.477749090575, 34.8532576285385),535.276269024356
"27","Ye93S8Wu4rH6mUD13SX1","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FYe93S8Wu4rH6mUD13SX1.jpg?alt=media&token=955bb415-d79a-4f99-93ea-4b8445cb79de","34.8532464201391","-118.477828927822","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510986.79657,"Rosamond","1",2023-05-08 01:56:26,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.477828927822, 34.8532464201391),527.89453214699
"28","Bhx3nATNqDozirB4Hf72","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FBhx3nATNqDozirB4Hf72.jpg?alt=media&token=f1840e7c-f1f6-4b80-a685-cc225b62b0e5","34.8531829624243","-118.477965479666","hC2z3Bytg7T0tycdQpIN","notracetrails","hard plastic",1683510955.56991,"Rosamond","1",2023-05-08 01:55:55,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.477965479666, 34.8531829624243),514.213567311406
"29","Wfp5tEynlkT7rKTBvhoX","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FWfp5tEynlkT7rKTBvhoX.jpg?alt=media&token=f98c9110-48e9-4945-b1fb-8830e395bf3e","34.853051213056","-118.478762501999","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510865.81256,"Rosamond","1",2023-05-08 01:54:25,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.478762501999, 34.853051213056),440.03228702742
"30","8Q9INYKdI3b0S0jUHov3","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F8Q9INYKdI3b0S0jUHov3.jpg?alt=media&token=83ec0671-9ea4-49d4-9eaf-6dd809342b76","34.8530228013025","-118.478904450633","hC2z3Bytg7T0tycdQpIN","notracetrails","soft plastic",1683510828.64416,"Rosamond","1",2023-05-08 01:53:48,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.478904450633, 34.8530228013025),426.704423763199
"31","rWELMuYA7dxJPa90iWA5","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FrWELMuYA7dxJPa90iWA5.jpg?alt=media&token=71019b3c-cf9c-4487-9984-54743e7e34a1","34.8529830750555","-118.479086338483","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510796.87759,"Rosamond","1",2023-05-08 01:53:16,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.479086338483, 34.8529830750555),409.549586921162
"32","7AMbdtYylCtdTASdKJSt","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F7AMbdtYylCtdTASdKJSt.jpg?alt=media&token=59731c9e-91c2-4581-8cf2-54e3e3ee4c2d","34.8529626767627","-118.479210152975","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510780.73029,"Rosamond","1",2023-05-08 01:53:00,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.479210152975, 34.8529626767627),398.027151201928
"33","INnLDJ8MJSVFCxKhoLkA","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FINnLDJ8MJSVFCxKhoLkA.jpg?alt=media&token=6281623c-1b51-48eb-96e0-c1d8afe9a616","34.8528383229465","-118.479923550661","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510710.47368,"Rosamond","1",2023-05-08 01:51:50,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.479923550661, 34.8528383229465),331.477984770319
"34","E5QytsCzvC0fPAoFlodd","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FE5QytsCzvC0fPAoFlodd.jpg?alt=media&token=643ea39b-e402-4faa-9750-b6435093c077","34.8527833720169","-118.480231666379","hC2z3Bytg7T0tycdQpIN","notracetrails","soft plastic",1683510669.81936,"Rosamond","1",2023-05-08 01:51:09,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.480231666379, 34.8527833720169),302.706444830513
"35","Tgie1NimR3DtB2mfOuUk","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FTgie1NimR3DtB2mfOuUk.jpg?alt=media&token=77960b40-a63c-45c5-b56f-910a80604b31","34.8527071715936","-118.480572099993","hC2z3Bytg7T0tycdQpIN","notracetrails","metal",1683510605.99918,"Rosamond","1",2023-05-08 01:50:05,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.480572099993, 34.8527071715936),270.561660610292
"36","aHmBlvV7v8naFeFxvJTZ","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaHmBlvV7v8naFeFxvJTZ.jpg?alt=media&token=bd50775f-666f-482b-bece-2ab662a31082","34.8527040180149","-118.48063139015","hC2z3Bytg7T0tycdQpIN","notracetrails","plastic rubber",1683510573.2015,"Rosamond","1",2023-05-08 01:49:33,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.48063139015, 34.8527040180149),265.194298732256
"37","CG3njCdjk09hBH3cM9xP","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FCG3njCdjk09hBH3cM9xP.jpg?alt=media&token=beb66a48-b2e3-4973-b16a-31c9472fceda","34.8526356717323","-118.481093747953","hC2z3Bytg7T0tycdQpIN","notracetrails","food",1683510530.25079,"Rosamond","1",2023-05-08 01:48:50,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.481093747953, 34.8526356717323),222.347554892763
"38","rS0cTvSJFedVD549mAWo","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FrS0cTvSJFedVD549mAWo.jpg?alt=media&token=18d86324-3922-4d89-94d6-9698f83e2c0e","34.8524407805286","-118.48224538827","hC2z3Bytg7T0tycdQpIN","notracetrails","metal",1683510411.58119,"Rosamond","1",2023-05-08 01:46:51,2023-05-08,-118.4834752,34.8522123000001,3035,530,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.48224538827, 34.8524407805286),115.059978488253
"39","HxtJXU9qqp0MgS7GwEo2","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FHxtJXU9qqp0MgS7GwEo2.jpg?alt=media&token=925067b0-9a6c-497d-a335-2bc50a2dd583","34.834216517978","-118.587111597279","GDwhEFWVKgfbB9BMx0DT","notracetrails","metal",1683498467.25768,"Rosamond","3",2023-05-07 22:27:47,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.587111597279, 34.834216517978),4871.30939560451
"40","8E6NJzD6ht4NcY4ijJiT","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F8E6NJzD6ht4NcY4ijJiT.jpg?alt=media&token=5becef3c-3a0f-4ca6-86f7-7310d5537d8b","34.8342233103638","-118.587160931947","GDwhEFWVKgfbB9BMx0DT","notracetrails","metal",1683498455.88758,"Rosamond","1",2023-05-07 22:27:35,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.587160931947, 34.8342233103638),4872.09372196999
"41","fJQc7MaBzv866x7cP5FX","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FfJQc7MaBzv866x7cP5FX.jpg?alt=media&token=9e0c6c6a-ae95-4692-82a8-fb362e3af0b5","34.8342191899271","-118.58717133715","GDwhEFWVKgfbB9BMx0DT","notracetrails","uncategorized",1683498437.75809,"Rosamond","4",2023-05-07 22:27:17,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.58717133715, 34.8342191899271),4871.64222188179
"42","5rxsgH0wAvawCVaCWGPN","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F5rxsgH0wAvawCVaCWGPN.jpg?alt=media&token=94a0c2c6-a3b5-4825-8e58-7191b6cf08be","34.8342191899271","-118.58717133715","GDwhEFWVKgfbB9BMx0DT","notracetrails","metal",1683498431.22028,"Rosamond","1",2023-05-07 22:27:11,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.58717133715, 34.8342191899271),4871.64222188179
"43","K7M6pNqxxvlCYh7Zwb2s","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FK7M6pNqxxvlCYh7Zwb2s.jpg?alt=media&token=83c43211-456d-4ee4-a0ec-930ad7e9e78b","34.8342133673089","-118.587199883676","GDwhEFWVKgfbB9BMx0DT","notracetrails","hard plastic",1683498415.18759,"Rosamond","1",2023-05-07 22:26:55,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.587199883676, 34.8342133673089),4871.01402058063
"44","0tdCg0k7rAEPV2acCYrt","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F0tdCg0k7rAEPV2acCYrt.jpg?alt=media&token=3e22da6c-c82e-4d56-a46f-bf6e75eb9788","34.8342133673089","-118.587199883676","GDwhEFWVKgfbB9BMx0DT","notracetrails","metal",1683498403.02731,"Rosamond","3",2023-05-07 22:26:43,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.587199883676, 34.8342133673089),4871.01402058063
"45","oaEcFs7tkxbj6vyJRiKl","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FoaEcFs7tkxbj6vyJRiKl.jpg?alt=media&token=dd0ebfb3-659d-47f7-995d-d260d2e4daeb","34.8342133673089","-118.587199883676","GDwhEFWVKgfbB9BMx0DT","notracetrails","glass",1683498398.56062,"Rosamond","1",2023-05-07 22:26:38,2023-05-07,-118.586791938,34.7904086350001,3062,520,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.587199883676, 34.8342133673089),4871.01402058063
